2025-07-01 13:46:40.888 [main] [,] INFO  c.o.ObservabilityApplication - Starting ObservabilityApplication using Java 21.0.5 with PID 30620 (D:\Learning\BackendProject\observability\spring-boot-observability\build\classes\java\main started by HimanshuGupta in D:\Learning\BackendProject\observability\spring-boot-observability)
2025-07-01 13:46:40.901 [main] [,] INFO  c.o.ObservabilityApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-01 13:46:43.028 [main] [,] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-01 13:46:43.167 [main] [,] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 119 ms. Found 1 JPA repository interface.
2025-07-01 13:46:45.059 [main] [,] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9999 (http)
2025-07-01 13:46:45.088 [main] [,] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-01 13:46:45.089 [main] [,] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.17]
2025-07-01 13:46:45.207 [main] [,] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-01 13:46:45.208 [main] [,] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4214 ms
2025-07-01 13:46:46.573 [main] [,] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-07-01 13:46:47.076 [main] [,] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:9d70581f-04da-4aab-932b-b2309bdf193d user=SA
2025-07-01 13:46:47.087 [main] [,] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-07-01 13:46:47.247 [main] [,] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-01 13:46:47.485 [main] [,] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2025-07-01 13:46:47.676 [main] [,] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-07-01 13:46:48.551 [main] [,] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-07-01 13:46:50.620 [main] [,] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-07-01 13:46:50.666 [main] [,] DEBUG org.hibernate.SQL - drop table if exists users cascade 
2025-07-01 13:46:50.687 [main] [,] DEBUG org.hibernate.SQL - create table users (id bigint generated by default as identity, email varchar(255) not null, first_name varchar(255), last_name varchar(255), username varchar(255) not null, primary key (id))
2025-07-01 13:46:50.710 [main] [,] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-01 13:46:51.844 [main] [,] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-07-01 13:46:53.169 [main] [,] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-01 13:46:54.800 [main] [,] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 14 endpoint(s) beneath base path '/actuator'
2025-07-01 13:46:54.983 [main] [,] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9999 (http) with context path ''
2025-07-01 13:46:55.004 [main] [,] INFO  c.o.ObservabilityApplication - Started ObservabilityApplication in 15.336 seconds (process running for 15.867)
2025-07-01 15:30:37.306 [main] [,] INFO  c.o.ObservabilityApplication - Starting ObservabilityApplication using Java 21.0.5 with PID 30100 (D:\Learning\BackendProject\observability\spring-boot-observability\build\classes\java\main started by HimanshuGupta in D:\Learning\BackendProject\observability\spring-boot-observability)
2025-07-01 15:30:37.312 [main] [,] INFO  c.o.ObservabilityApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-01 15:30:38.681 [main] [,] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-01 15:30:38.776 [main] [,] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 76 ms. Found 1 JPA repository interface.
2025-07-01 15:30:40.780 [main] [,] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9999 (http)
2025-07-01 15:30:40.805 [main] [,] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-01 15:30:40.806 [main] [,] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.17]
2025-07-01 15:30:40.921 [main] [,] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-01 15:30:40.923 [main] [,] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3537 ms
2025-07-01 15:30:42.169 [main] [,] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-07-01 15:30:42.657 [main] [,] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:5c99df76-1bcd-4924-8f72-bd4696842f90 user=SA
2025-07-01 15:30:42.663 [main] [,] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-07-01 15:30:42.807 [main] [,] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-01 15:30:43.052 [main] [,] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2025-07-01 15:30:43.189 [main] [,] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-07-01 15:30:43.687 [main] [,] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-07-01 15:30:45.058 [main] [,] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-07-01 15:30:45.087 [main] [,] DEBUG org.hibernate.SQL - drop table if exists users cascade 
2025-07-01 15:30:45.098 [main] [,] DEBUG org.hibernate.SQL - create table users (id bigint generated by default as identity, email varchar(255) not null, first_name varchar(255), last_name varchar(255), username varchar(255) not null, primary key (id))
2025-07-01 15:30:45.117 [main] [,] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-01 15:30:46.108 [main] [,] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-07-01 15:30:47.209 [main] [,] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-01 15:30:49.475 [main] [,] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2025-07-01 15:30:49.682 [main] [,] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9999 (http) with context path ''
2025-07-01 15:30:49.715 [main] [,] INFO  c.o.ObservabilityApplication - Started ObservabilityApplication in 13.456 seconds (process running for 14.111)
2025-07-01 15:32:07.412 [main] [,] INFO  c.o.ObservabilityApplication - Starting ObservabilityApplication using Java 21.0.5 with PID 35324 (D:\Learning\BackendProject\observability\spring-boot-observability\build\classes\java\main started by HimanshuGupta in D:\Learning\BackendProject\observability\spring-boot-observability)
2025-07-01 15:32:07.430 [main] [,] INFO  c.o.ObservabilityApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-01 15:32:08.875 [main] [,] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-01 15:32:08.933 [main] [,] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 51 ms. Found 1 JPA repository interface.
2025-07-01 15:32:10.117 [main] [,] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9999 (http)
2025-07-01 15:32:10.134 [main] [,] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-01 15:32:10.136 [main] [,] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.17]
2025-07-01 15:32:10.227 [main] [,] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-01 15:32:10.228 [main] [,] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2688 ms
2025-07-01 15:32:11.329 [main] [,] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-07-01 15:32:11.688 [main] [,] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:f3cb34bb-1a7c-4bcc-82c1-c82a2b3a81fe user=SA
2025-07-01 15:32:11.695 [main] [,] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-07-01 15:32:11.823 [main] [,] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-01 15:32:12.006 [main] [,] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2025-07-01 15:32:12.119 [main] [,] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-07-01 15:32:12.647 [main] [,] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-07-01 15:32:13.809 [main] [,] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-07-01 15:32:13.834 [main] [,] DEBUG org.hibernate.SQL - drop table if exists users cascade 
2025-07-01 15:32:13.843 [main] [,] DEBUG org.hibernate.SQL - create table users (id bigint generated by default as identity, email varchar(255) not null, first_name varchar(255), last_name varchar(255), username varchar(255) not null, primary key (id))
2025-07-01 15:32:13.866 [main] [,] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-01 15:32:14.437 [main] [,] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-07-01 15:32:15.296 [main] [,] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-01 15:32:17.849 [main] [,] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2025-07-01 15:32:18.027 [main] [,] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9999 (http) with context path ''
2025-07-01 15:32:18.045 [main] [,] INFO  c.o.ObservabilityApplication - Started ObservabilityApplication in 11.705 seconds (process running for 12.137)
